Paper (Authors + Year),Paper Name,Trait,Counter or Co,Population Number,Comparison(a or b),Point on gradient,Treatment,Experiment #,Population Home Env,Comparison population,Value,Standard Deviation,Sample Size,Notes
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,1,a,,14,1,1,a,1.55,0.1,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,2,,,14,1,1,a,1.47,0.1,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,3,b,,14,1,1,a,1.25,0.17,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,1,a,,18,1,2,,1.35,0.39,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,2,,,18,1,2,,0.95,0.15,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,3,b,,18,1,2,,0.98,0.09,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,1,a,,22,1,3,b,1.25,0.07,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,2,,,22,1,3,b,0.9,0.06,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,3,b,,22,1,3,b,0.74,0.07,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,1,a,,14,2,1,a,0.86,0.01,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,2,,,14,2,1,a,0.79,0.04,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,3,b,,14,2,1,a,0.8,0.07,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,1,a,,18,2,2,,1.18,0.17,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,2,,,18,2,2,,1.03,0.28,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,3,b,,18,2,2,,0.96,0.2,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,1,a,,22,2,3,b,0.95,0.17,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,2,,,22,2,3,b,1.27,0.23,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",food conversion efficiency,Counter,3,b,,22,2,3,b,0.58,0.15,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,1,a,,14,1,1,a,2.273796356,1.507911256,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,2,,,14,1,1,a,2.128020027,1.458773467,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,3,b,,14,1,1,a,2.167957152,1.472398435,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,1,a,,14,2,1,a,1.593700879,2.524837325,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,2,,,14,2,1,a,1.562845666,2.500276517,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,3,b,,14,2,1,a,1.452349071,2.410268924,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,1,a,,18,1,2,,2.577777778,1.605545944,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,2,,,18,1,2,,2.392592593,1.54680076,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,3,b,,18,1,2,,2.474074074,1.572918966,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,1,a,,18,2,2,,1.725925926,2.627490001,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,2,,,18,2,2,,1.681481481,2.593439015,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,3,b,,18,2,2,,1.607407407,2.535671436,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,1,a,,22,1,3,b,2.874074074,1.695309433,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,2,,,22,1,2,b,2.525925926,1.589316182,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,3,b,,22,1,2,b,2.607407407,1.614746856,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,1,a,,22,2,2,b,1.718518519,2.621845547,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,2,,,22,2,2,b,1.711111111,2.616188916,19,
Imsland et al. 2001,"Variation in food intake, food conversion efficiency and growth of juvenile turbot from different geographic strains",growth rate,Counter,3,b,,22,2,2,b,1.577777778,2.512192491,19,
